participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,email_order,email_id,email_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,gaze_header_ms,gaze_body_ms,gaze_link_ms,gaze_attachment_ms,gaze_ui_ms,behavioral_profile,risk_score,timestamp
P017,M,36-45,no,SES017,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7198,1079,2882,1439,863,935,Intermediate,0.49,2026-06-11T13:00:32
P017,M,36-45,no,SES017,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,7042,1056,3170,1056,845,915,Intermediate,0.49,2026-06-11T13:01:04
P017,M,36-45,no,SES017,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4523,678,1812,904,542,587,Intermediate,0.49,2026-06-11T13:01:36
P018,F,26-35,no,SES018,2026-06-11,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7497,1124,3001,1499,899,974,Intermediate,0.22,2026-06-11T14:00:32
P018,F,26-35,no,SES018,2026-06-11,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,3911,586,1762,586,469,508,Intermediate,0.22,2026-06-11T14:01:04
P018,F,26-35,no,SES018,2026-06-11,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4834,725,1935,966,580,628,Intermediate,0.22,2026-06-11T14:01:36
P019,M,18-25,no,SES019,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,3079,307,1696,246,215,615,Impulsive,0.58,2026-06-12T09:00:32
P019,M,18-25,no,SES019,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,1398,139,842,41,97,279,Impulsive,0.58,2026-06-12T09:01:04
P019,M,18-25,no,SES019,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,3110,311,1712,248,217,622,Impulsive,0.58,2026-06-12T09:01:36
P020,F,46+,yes,SES020,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,12754,2295,3828,3571,1785,1275,Cautious,0.05,2026-06-12T10:00:32
P020,F,46+,yes,SES020,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,10633,1913,3724,2445,1488,1063,Cautious,0.05,2026-06-12T10:01:04
P020,F,46+,yes,SES020,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,15418,2775,4627,4317,2158,1541,Cautious,0.05,2026-06-12T10:01:36
P021,M,26-35,yes,SES021,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7785,1167,3115,1557,934,1012,Intermediate,0.14,2026-06-12T11:00:32
P021,M,26-35,yes,SES021,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,7191,1078,3239,1078,862,934,Intermediate,0.14,2026-06-12T11:01:04
P021,M,26-35,yes,SES021,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,5468,820,2189,1093,656,710,Intermediate,0.14,2026-06-12T11:01:36
P022,F,18-25,no,SES022,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,5460,819,2185,1092,655,709,Intermediate,0.46,2026-06-12T12:00:32
P022,F,18-25,no,SES022,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,4972,745,2240,745,596,646,Intermediate,0.46,2026-06-12T12:01:04
P022,F,18-25,no,SES022,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,8915,1337,3568,1783,1069,1158,Intermediate,0.46,2026-06-12T12:01:36
P023,M,36-45,no,SES023,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,3404,340,1874,272,238,680,Impulsive,0.89,2026-06-12T13:00:32
P023,M,36-45,no,SES023,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,1374,137,826,41,96,274,Impulsive,0.89,2026-06-12T13:01:04
P023,M,36-45,no,SES023,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,2614,261,1440,209,182,522,Impulsive,0.89,2026-06-12T13:01:36
P024,F,26-35,no,SES024,2026-06-12,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,14701,2646,4411,4116,2058,1470,Cautious,0.10,2026-06-12T14:00:32
P024,F,26-35,no,SES024,2026-06-12,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,9864,1775,3455,2268,1380,986,Cautious,0.10,2026-06-12T14:01:04
P024,F,26-35,no,SES024,2026-06-12,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,11018,1983,3307,3085,1542,1101,Cautious,0.10,2026-06-12T14:01:36
P025,M,18-25,no,SES025,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,7960,1194,3185,1592,955,1034,Intermediate,0.51,2026-06-13T09:00:32
P025,M,18-25,no,SES025,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,5450,817,2454,817,654,708,Intermediate,0.51,2026-06-13T09:01:04
P025,M,18-25,no,SES025,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,8258,1238,3306,1651,990,1073,Intermediate,0.51,2026-06-13T09:01:36
P026,F,26-35,yes,SES026,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,4363,654,1747,872,523,567,Intermediate,0.16,2026-06-13T10:00:32
P026,F,26-35,yes,SES026,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,4819,722,2171,722,578,626,Intermediate,0.16,2026-06-13T10:01:04
P026,F,26-35,yes,SES026,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,6045,906,2420,1209,725,785,Intermediate,0.16,2026-06-13T10:01:36
P027,M,46+,no,SES027,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,2470,247,1360,197,172,494,Impulsive,0.56,2026-06-13T11:00:32
P027,M,46+,no,SES027,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,2394,239,1439,71,167,478,Impulsive,0.56,2026-06-13T11:01:04
P027,M,46+,no,SES027,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,2680,268,1475,214,187,536,Impulsive,0.56,2026-06-13T11:01:36
P028,F,18-25,no,SES028,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,18425,3316,5529,5159,2579,1842,Cautious,0.11,2026-06-13T12:00:32
P028,F,18-25,no,SES028,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,15220,2739,5329,3500,2130,1522,Cautious,0.11,2026-06-13T12:01:04
P028,F,18-25,no,SES028,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,17783,3200,5337,4979,2489,1778,Cautious,0.11,2026-06-13T12:01:36
P029,M,36-45,yes,SES029,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7224,1083,2892,1444,866,939,Intermediate,0.13,2026-06-13T13:00:32
P029,M,36-45,yes,SES029,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,Report,true,false,4974,746,2240,746,596,646,Intermediate,0.13,2026-06-13T13:01:04
P029,M,36-45,yes,SES029,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,5609,841,2245,1121,673,729,Intermediate,0.13,2026-06-13T13:01:36
P030,F,26-35,no,SES030,2026-06-13,scenario_1,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,8300,1245,3320,1660,996,1079,Intermediate,0.44,2026-06-13T14:00:32
P030,F,26-35,no,SES030,2026-06-13,scenario_1,2,email_legit_01,legitimate,None,OpenLink,false,true,6869,1030,3093,1030,824,892,Intermediate,0.44,2026-06-13T14:01:04
P030,F,26-35,no,SES030,2026-06-13,scenario_1,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,8147,1222,3260,1629,977,1059,Intermediate,0.44,2026-06-13T14:01:36
