participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,scenario_name,stimulus_order,stimulus_id,stimulus_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,behavioral_profile,risk_score,timestamp
P003,M,18-25,no,SES003,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,1230,Impulsive,0.88,2026-06-09T11:00:21
P003,M,18-25,no,SES003,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,1560,Impulsive,0.88,2026-06-09T11:00:43
P003,M,18-25,no,SES003,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,2694,Impulsive,0.88,2026-06-09T11:00:28
P003,M,18-25,no,SES003,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,1635,Impulsive,0.88,2026-06-09T11:00:56
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,13949,Cautious,0.07,2026-06-09T12:00:32
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,12131,Cautious,0.07,2026-06-09T12:01:04
P004,F,36-45,yes,SES004,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,14713,Cautious,0.07,2026-06-09T12:01:36
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,15670,Cautious,0.07,2026-06-09T13:00:00
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,12340,Cautious,0.07,2026-06-09T13:00:35
P004,F,36-45,yes,SES004,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,18920,Cautious,0.07,2026-06-09T13:01:08
P004,F,36-45,yes,SES004,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,16644,Cautious,0.07,2026-06-09T12:00:28
P004,F,36-45,yes,SES004,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,9609,Cautious,0.07,2026-06-09T12:00:56
P005,M,26-35,no,SES005,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,8421,Intermediate,0.22,2026-06-09T13:00:32
P005,M,26-35,no,SES005,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,6697,Intermediate,0.22,2026-06-09T13:01:04
P005,M,26-35,no,SES005,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,5717,Intermediate,0.22,2026-06-09T13:01:36
P005,M,26-35,no,SES005,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,6340,Intermediate,0.22,2026-06-09T14:00:00
P005,M,26-35,no,SES005,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,Report,false,false,5120,Intermediate,0.22,2026-06-09T14:00:26
P005,M,26-35,no,SES005,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,7890,Intermediate,0.22,2026-06-09T14:00:51
P005,M,26-35,no,SES005,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4497,Intermediate,0.22,2026-06-09T13:00:28
P005,M,26-35,no,SES005,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,5762,Intermediate,0.22,2026-06-09T13:00:56
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7269,Intermediate,0.12,2026-06-09T14:00:32
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,7129,Intermediate,0.12,2026-06-09T14:01:04
P006,F,18-25,yes,SES006,2026-06-09,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,6461,Intermediate,0.12,2026-06-09T14:01:36
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4230,Intermediate,0.12,2026-06-09T15:00:00
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,3870,Intermediate,0.12,2026-06-09T15:00:24
P006,F,18-25,yes,SES006,2026-06-09,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,5640,Intermediate,0.12,2026-06-09T15:00:48
P006,F,18-25,yes,SES006,2026-06-09,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,5465,Intermediate,0.12,2026-06-09T14:00:28
P006,F,18-25,yes,SES006,2026-06-09,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,4671,Intermediate,0.12,2026-06-09T14:00:56
P007,M,46+,no,SES007,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,1968,Impulsive,0.52,2026-06-10T09:00:32
P007,M,46+,no,SES007,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,1574,Impulsive,0.52,2026-06-10T09:01:04
P007,M,46+,no,SES007,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,2160,Impulsive,0.52,2026-06-10T09:01:36
P007,M,46+,no,SES007,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,2890,Impulsive,0.52,2026-06-10T09:00:00
P007,M,46+,no,SES007,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,Report,false,false,1980,Impulsive,0.52,2026-06-10T09:00:22
P007,M,46+,no,SES007,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2340,Impulsive,0.52,2026-06-10T09:00:44
P007,M,46+,no,SES007,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,3069,Impulsive,0.52,2026-06-10T09:00:28
P007,M,46+,no,SES007,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,2214,Impulsive,0.52,2026-06-10T09:00:56
P008,F,26-35,no,SES008,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,17557,Cautious,0.09,2026-06-10T10:00:32
P008,F,26-35,no,SES008,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,10188,Cautious,0.09,2026-06-10T10:01:04
P008,F,26-35,no,SES008,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,17074,Cautious,0.09,2026-06-10T10:01:36
P008,F,26-35,no,SES008,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,13450,Cautious,0.09,2026-06-10T10:00:00
P008,F,26-35,no,SES008,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,11230,Cautious,0.09,2026-06-10T10:00:33
P008,F,26-35,no,SES008,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,16780,Cautious,0.09,2026-06-10T10:01:04
P008,F,26-35,no,SES008,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,12452,Cautious,0.09,2026-06-10T10:00:28
P008,F,26-35,no,SES008,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,12768,Cautious,0.09,2026-06-10T10:00:56
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7646,Intermediate,0.11,2026-06-10T11:00:32
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,3967,Intermediate,0.11,2026-06-10T11:01:04
P009,M,36-45,yes,SES009,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,5160,Intermediate,0.11,2026-06-10T11:01:36
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,4980,Intermediate,0.11,2026-06-10T11:00:00
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4120,Intermediate,0.11,2026-06-10T11:00:24
P009,M,36-45,yes,SES009,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,6350,Intermediate,0.11,2026-06-10T11:00:49
P009,M,36-45,yes,SES009,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,8843,Intermediate,0.11,2026-06-10T11:00:28
P009,M,36-45,yes,SES009,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,5481,Intermediate,0.11,2026-06-10T11:00:56
P010,F,18-25,no,SES010,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7992,Intermediate,0.48,2026-06-10T12:00:32
P010,F,18-25,no,SES010,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,Report,true,false,6789,Intermediate,0.48,2026-06-10T12:01:04
P010,F,18-25,no,SES010,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,5371,Intermediate,0.48,2026-06-10T12:01:36
P010,F,18-25,no,SES010,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,7230,Intermediate,0.48,2026-06-10T13:00:00
P010,F,18-25,no,SES010,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,5890,Intermediate,0.48,2026-06-10T13:00:27
P010,F,18-25,no,SES010,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,6710,Intermediate,0.48,2026-06-10T13:00:53
P010,F,18-25,no,SES010,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,5950,Intermediate,0.48,2026-06-10T12:00:28
P010,F,18-25,no,SES010,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,7200,Intermediate,0.48,2026-06-10T12:00:56
P011,M,26-35,no,SES011,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,3254,Impulsive,0.55,2026-06-10T13:00:32
P011,M,26-35,no,SES011,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,2127,Impulsive,0.55,2026-06-10T13:01:04
P011,M,26-35,no,SES011,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,2389,Impulsive,0.55,2026-06-10T13:01:36
P011,M,26-35,no,SES011,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,2560,Impulsive,0.55,2026-06-10T14:00:00
P011,M,26-35,no,SES011,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,Report,false,false,1780,Impulsive,0.55,2026-06-10T14:00:22
P011,M,26-35,no,SES011,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,2890,Impulsive,0.55,2026-06-10T14:00:44
P011,M,26-35,no,SES011,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1791,Impulsive,0.55,2026-06-10T13:00:28
P011,M,26-35,no,SES011,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,2456,Impulsive,0.55,2026-06-10T13:00:56
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,11252,Cautious,0.07,2026-06-10T14:00:32
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,13452,Cautious,0.07,2026-06-10T14:01:04
P012,F,36-45,yes,SES012,2026-06-10,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,17421,Cautious,0.07,2026-06-10T14:01:36
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,12890,Cautious,0.07,2026-06-10T15:00:00
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,10560,Cautious,0.07,2026-06-10T15:00:32
P012,F,36-45,yes,SES012,2026-06-10,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,15340,Cautious,0.07,2026-06-10T15:01:03
P012,F,36-45,yes,SES012,2026-06-10,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,18796,Cautious,0.07,2026-06-10T14:00:28
P012,F,36-45,yes,SES012,2026-06-10,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,11011,Cautious,0.07,2026-06-10T14:00:56
P013,M,18-25,no,SES013,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,5186,Intermediate,0.47,2026-06-11T09:00:32
P013,M,18-25,no,SES013,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,7347,Intermediate,0.47,2026-06-11T09:01:04
P013,M,18-25,no,SES013,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,6100,Intermediate,0.47,2026-06-11T09:01:36
P013,M,18-25,no,SES013,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5430,Intermediate,0.47,2026-06-11T09:00:00
P013,M,18-25,no,SES013,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,4780,Intermediate,0.47,2026-06-11T09:00:25
P013,M,18-25,no,SES013,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,5120,Intermediate,0.47,2026-06-11T09:00:50
P013,M,18-25,no,SES013,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,7536,Intermediate,0.47,2026-06-11T09:00:28
P013,M,18-25,no,SES013,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,6070,Intermediate,0.47,2026-06-11T09:00:56
P014,F,46+,yes,SES014,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,6089,Intermediate,0.13,2026-06-11T10:00:32
P014,F,46+,yes,SES014,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,4513,Intermediate,0.13,2026-06-11T10:01:04
P014,F,46+,yes,SES014,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4222,Intermediate,0.13,2026-06-11T10:01:36
P014,F,46+,yes,SES014,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,8120,Intermediate,0.13,2026-06-11T10:00:00
P014,F,46+,yes,SES014,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,6870,Intermediate,0.13,2026-06-11T10:00:28
P014,F,46+,yes,SES014,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,9340,Intermediate,0.13,2026-06-11T10:00:54
P014,F,46+,yes,SES014,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4455,Intermediate,0.13,2026-06-11T10:00:28
P014,F,46+,yes,SES014,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,5498,Intermediate,0.13,2026-06-11T10:00:56
P015,M,18-25,no,SES015,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,1990,Impulsive,0.92,2026-06-11T11:00:32
P015,M,18-25,no,SES015,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,1938,Impulsive,0.92,2026-06-11T11:01:04
P015,M,18-25,no,SES015,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,OpenLink,false,false,3493,Impulsive,0.92,2026-06-11T11:01:36
P015,M,18-25,no,SES015,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,EnterCredentials,false,false,1560,Impulsive,0.92,2026-06-11T11:00:00
P015,M,18-25,no,SES015,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,1230,Impulsive,0.92,2026-06-11T11:00:21
P015,M,18-25,no,SES015,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,1780,Impulsive,0.92,2026-06-11T11:00:42
P015,M,18-25,no,SES015,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1855,Impulsive,0.92,2026-06-11T11:00:28
P015,M,18-25,no,SES015,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,2405,Impulsive,0.92,2026-06-11T11:00:56
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,13465,Cautious,0.06,2026-06-11T12:00:32
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,15504,Cautious,0.06,2026-06-11T12:01:04
P016,F,26-35,yes,SES016,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,16886,Cautious,0.06,2026-06-11T12:01:36
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,14230,Cautious,0.06,2026-06-11T13:00:00
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,11890,Cautious,0.06,2026-06-11T13:00:34
P016,F,26-35,yes,SES016,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,17560,Cautious,0.06,2026-06-11T13:01:06
P016,F,26-35,yes,SES016,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,16528,Cautious,0.06,2026-06-11T12:00:28
P016,F,26-35,yes,SES016,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,11079,Cautious,0.06,2026-06-11T12:00:56
P017,M,36-45,no,SES017,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7198,Intermediate,0.49,2026-06-11T13:00:32
P017,M,36-45,no,SES017,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,7042,Intermediate,0.49,2026-06-11T13:01:04
P017,M,36-45,no,SES017,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4523,Intermediate,0.49,2026-06-11T13:01:36
P017,M,36-45,no,SES017,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,6890,Intermediate,0.49,2026-06-11T14:00:00
P017,M,36-45,no,SES017,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,EnterCredentials,false,true,5430,Intermediate,0.49,2026-06-11T14:00:26
P017,M,36-45,no,SES017,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,EnterCredentials,false,false,6120,Intermediate,0.49,2026-06-11T14:00:52
P017,M,36-45,no,SES017,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,8037,Intermediate,0.49,2026-06-11T13:00:28
P017,M,36-45,no,SES017,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,ClickLink,false,true,5935,Intermediate,0.49,2026-06-11T13:00:56
P018,F,26-35,no,SES018,2026-06-11,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,Report,true,true,7497,Intermediate,0.22,2026-06-11T14:00:32
P018,F,26-35,no,SES018,2026-06-11,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,3911,Intermediate,0.22,2026-06-11T14:01:04
P018,F,26-35,no,SES018,2026-06-11,scenario_1,E1_Email,3,email_phish_02,phishing,MismatchedLink+GenericGreeting,Report,true,true,4834,Intermediate,0.22,2026-06-11T14:01:36
P018,F,26-35,no,SES018,2026-06-11,scenario_2,E2_Web,1,site_phish_01,phishing,BadURL+NoHTTPS,Report,true,true,5670,Intermediate,0.22,2026-06-11T15:00:00
P018,F,26-35,no,SES018,2026-06-11,scenario_2,E2_Web,2,site_legit_01,legitimate,None,Report,false,false,4890,Intermediate,0.22,2026-06-11T15:00:25
P018,F,26-35,no,SES018,2026-06-11,scenario_2,E2_Web,3,site_phish_02,phishing,TypoInLogo+ExcessiveFormFields,Report,true,true,6340,Intermediate,0.22,2026-06-11T15:00:50
P018,F,26-35,no,SES018,2026-06-11,scenario_3,E3_Smishing,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4078,Intermediate,0.22,2026-06-11T14:00:28
P018,F,26-35,no,SES018,2026-06-11,scenario_3,E3_Smishing,2,sms_legit_01,legitimate,None,Ignore,true,false,6796,Intermediate,0.22,2026-06-11T14:00:56
P019,M,18-25,no,SES019,2026-06-12,scenario_1,E1_Email,1,email_phish_01,phishing,SpoofedSender+UrgentTone,OpenLink,false,false,3079,Impulsive,0.58,2026-06-12T09:00:32
P019,M,18-25,no,SES019,2026-06-12,scenario_1,E1_Email,2,email_legit_01,legitimate,None,OpenLink,false,true,1398,Impulsive,0.58,2026-06-12T09:01:04
