participant_id,gender,age_group,prior_phishing_experience,session_id,session_date,scenario_id,sms_order,sms_id,sms_type,phishing_indicators,user_action,detected_phishing,is_correct,decision_time_ms,phone_raise_time_ms,sms_read_time_ms,grab_count,behavioral_profile,risk_score,timestamp
P008,F,26-35,no,SES008,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,12452,1060,7224,1,Cautious,0.09,2026-06-10T10:00:28
P008,F,26-35,no,SES008,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,12768,709,7170,1,Cautious,0.09,2026-06-10T10:00:56
P009,M,36-45,yes,SES009,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,8843,830,5287,3,Intermediate,0.11,2026-06-10T11:00:28
P009,M,36-45,yes,SES009,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5481,1128,2770,1,Intermediate,0.11,2026-06-10T11:00:56
P010,F,18-25,no,SES010,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,5950,1038,3086,1,Intermediate,0.48,2026-06-10T12:00:28
P010,F,18-25,no,SES010,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,7200,759,4452,1,Intermediate,0.48,2026-06-10T12:00:56
P011,M,26-35,no,SES011,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1791,1494,1197,1,Impulsive,0.55,2026-06-10T13:00:28
P011,M,26-35,no,SES011,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,2456,1644,1500,1,Impulsive,0.55,2026-06-10T13:00:56
P012,F,36-45,yes,SES012,2026-06-10,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,18796,1634,9670,1,Cautious,0.07,2026-06-10T14:00:28
P012,F,36-45,yes,SES012,2026-06-10,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,11011,2123,6000,2,Cautious,0.07,2026-06-10T14:00:56
P013,M,18-25,no,SES013,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,7536,1691,4503,3,Intermediate,0.47,2026-06-11T09:00:28
P013,M,18-25,no,SES013,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,6070,613,3337,1,Intermediate,0.47,2026-06-11T09:00:56
P014,F,46+,yes,SES014,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4455,1387,2278,1,Intermediate,0.13,2026-06-11T10:00:28
P014,F,46+,yes,SES014,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5498,752,3307,3,Intermediate,0.13,2026-06-11T10:00:56
P015,M,18-25,no,SES015,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1855,1555,1272,2,Impulsive,0.92,2026-06-11T11:00:28
P015,M,18-25,no,SES015,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,2405,1454,1435,1,Impulsive,0.92,2026-06-11T11:00:56
P016,F,26-35,yes,SES016,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,16528,1422,8591,2,Cautious,0.06,2026-06-11T12:00:28
P016,F,26-35,yes,SES016,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,11079,1579,7019,2,Cautious,0.06,2026-06-11T12:00:56
P017,M,36-45,no,SES017,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,8037,671,4558,2,Intermediate,0.49,2026-06-11T13:00:28
P017,M,36-45,no,SES017,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5935,1849,2925,2,Intermediate,0.49,2026-06-11T13:00:56
P018,F,26-35,no,SES018,2026-06-11,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,4078,1960,2125,2,Intermediate,0.22,2026-06-11T14:00:28
P018,F,26-35,no,SES018,2026-06-11,scenario_3,2,sms_legit_01,legitimate,None,Ignore,true,false,6796,1890,3792,2,Intermediate,0.22,2026-06-11T14:00:56
P019,M,18-25,no,SES019,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1951,2108,1270,2,Impulsive,0.58,2026-06-12T09:00:28
P019,M,18-25,no,SES019,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,1919,1043,1247,1,Impulsive,0.58,2026-06-12T09:00:56
P020,F,46+,yes,SES020,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,12869,1203,8359,2,Cautious,0.05,2026-06-12T10:00:28
P020,F,46+,yes,SES020,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,10533,1134,5014,3,Cautious,0.05,2026-06-12T10:00:56
P021,M,26-35,yes,SES021,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,6986,1449,4053,1,Intermediate,0.14,2026-06-12T11:00:28
P021,M,26-35,yes,SES021,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,Ignore,true,false,6030,699,3389,1,Intermediate,0.14,2026-06-12T11:00:56
P022,F,18-25,no,SES022,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,7350,1284,3505,2,Intermediate,0.46,2026-06-12T12:00:28
P022,F,18-25,no,SES022,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,6125,2071,3774,2,Intermediate,0.46,2026-06-12T12:00:56
P023,M,36-45,no,SES023,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,1639,2075,1143,1,Impulsive,0.89,2026-06-12T13:00:28
P023,M,36-45,no,SES023,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,1321,2154,684,3,Impulsive,0.89,2026-06-12T13:00:56
P024,F,26-35,no,SES024,2026-06-12,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,17806,1459,9550,1,Cautious,0.10,2026-06-12T14:00:28
P024,F,26-35,no,SES024,2026-06-12,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,11806,1164,5508,2,Cautious,0.10,2026-06-12T14:00:56
P025,M,18-25,no,SES025,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,8201,1349,5651,3,Intermediate,0.51,2026-06-13T09:00:28
P025,M,18-25,no,SES025,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5757,1395,3733,1,Intermediate,0.51,2026-06-13T09:00:56
P026,F,26-35,yes,SES026,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,6588,1581,4445,1,Intermediate,0.16,2026-06-13T10:00:28
P026,F,26-35,yes,SES026,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,3746,1981,1779,2,Intermediate,0.16,2026-06-13T10:00:56
P027,M,46+,no,SES027,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,2425,2078,1418,2,Impulsive,0.56,2026-06-13T11:00:28
P027,M,46+,no,SES027,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,1416,804,796,1,Impulsive,0.56,2026-06-13T11:00:56
P028,F,18-25,no,SES028,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,12794,605,8636,3,Cautious,0.11,2026-06-13T12:00:28
P028,F,18-25,no,SES028,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,13314,1681,8563,2,Cautious,0.11,2026-06-13T12:00:56
P029,M,36-45,yes,SES029,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,Ignore,true,true,8474,1388,5613,1,Intermediate,0.13,2026-06-13T13:00:28
P029,M,36-45,yes,SES029,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,3846,1045,2281,1,Intermediate,0.13,2026-06-13T13:00:56
P030,F,26-35,no,SES030,2026-06-13,scenario_3,1,sms_phish_01,phishing,ShortenedURL+PrizeBait,ClickLink,false,false,6108,2163,3324,1,Intermediate,0.44,2026-06-13T14:00:28
P030,F,26-35,no,SES030,2026-06-13,scenario_3,2,sms_legit_01,legitimate,None,ClickLink,false,true,5113,1442,3152,2,Intermediate,0.44,2026-06-13T14:00:56
